code,localidad
558,LA EDUVIGES
559,LA EMILIA
560,LA ESCONDIDA
561,LA FALDA
562,LA FRONTERITA
563,LA HIGUERA
564,LA LEONESA
565,LA LUCILA
566,LA MERCED
567,LA PAZ
568,LA PELADA
569,LA PLATA
570,LA QUIACA
571,LA RIOJA
572,LA VERDE
573,LA VIOLETA
574,LABORDEBOY
575,LABOULAYE
576,LAFERRERE
577,LAGUNA BLANCA
578,LAGUNA LARGA
579,LAGUNA PAIVA
580,LANDETA
581,LANUS
582,LAPRIDA
583,LAS BREÑAS
584,LAS FLORES
585,LAS HERAS
586,LAS PALMAS
587,LAS PAREJAS
588,LAS TONINAS
589,LAVALLE
590,LEANDRO N.ALEM
591,LEHMANN
592,LEONES
593,LIBERTAD
594,LIBERTADOR GRAL.SAN MARTIN
595,LIMA
596,LINCOLN
597,LISANDRO OLMOS
598,LLAVALLOL
599,LOBERIA
600,LOBOS
601,LOMA VERDE
602,LOMAS DE ZAMORA
603,LOMAS DEL MIRADOR
604,LONCOPUE
605,LONGCHAMPS
606,LONQUIMAY
607,LOPEZ MOLINARI
608,LOS AGUIRRE
609,LOS CARDALES
610,LOS CARDOS
611,LOS CHAÑARES
612,LOS JURIES
613,LOS MOLINOS
614,LOS POLVORINES
615,LOS RALOS
616,LOS SEMBRADOS
617,LOS SURGENTES
618,LOS TELARES
619,LOS TOLDOS
620,LOTE 11 (ESCUELA 107)
621,LUAN TORO
622,LUIS GUILLON
623,LUJAN
624,LUJAN DE CUYO
625,LULES
626,MACACHIN
627,MACHAGAI
628,MAGGIOLO
629,MAIPU
630,MAKALLE
631,MALARGUE
632,MANANTIALES
633,MANFREDI
634,MANUCHO
635,MANUEL B.GONNET
636,MANUEL FLORENCIO MANTILLA
637,MANUEL OCAMPO
638,MAQUINCHAO
639,MAR DE AJO
640,MAR DEL PLATA
641,MAR DEL TUYU
642,MARCOS JUAREZ
643,MARCOS PAZ
644,MARGARITA BELEN
645,MARIA JUANA
646,MARIANO ACOSTA
